policy_id,x,n,t,OIS,OID,k,delta,surrender_value
0,412,218,21,1000.0,1000.0,1.0,0.0,91.54582669380888
0,412,218,54,1000.0,1000.0,1.0,0.0,236.00017990291659
0,412,218,109,1000.0,1000.0,1.0,0.0,478.7707360553316
0,412,218,163,1000.0,1000.0,1.0,0.0,719.794697167162
0,412,218,218,1000.0,1000.0,1.0,0.0,970.0
1,317,260,26,1000.0,1000.0,1.0,0.0,94.41719114393904
1,317,260,65,1000.0,1000.0,1.0,0.0,237.1521529503693
1,317,260,130,1000.0,1000.0,1.0,0.0,477.7442104815703
1,317,260,195,1000.0,1000.0,1.0,0.0,721.6409687112631
1,317,260,260,1000.0,1000.0,1.0,0.0,969.9999999999999
2,373,374,37,4000.0,1000.0,4.0,0.75,156.77382206930233
2,373,374,93,4000.0,1000.0,4.0,0.75,388.16582777736795
2,373,374,187,4000.0,1000.0,4.0,0.75,741.7812739092981
2,373,374,280,4000.0,1000.0,4.0,0.75,972.0086149075282
2,373,374,374,4000.0,1000.0,4.0,0.75,969.9999999999999
3,689,115,11,2000.0,1000.0,2.0,0.25,95.09365067213999
3,689,115,28,2000.0,1000.0,2.0,0.25,240.30999010022296
3,689,115,57,2000.0,1000.0,2.0,0.25,485.50605439278985
3,689,115,86,2000.0,1000.0,2.0,0.25,728.9248804601901
3,689,115,115,2000.0,1000.0,2.0,0.25,970.0000000000001
4,389,93,9,1000.0,4000.0,0.25,0.0,370.9503566346227
4,389,93,23,1000.0,4000.0,0.25,0.0,949.7469321905814
4,389,93,46,1000.0,4000.0,0.25,0.0,1000.0
4,389,93,69,1000.0,4000.0,0.25,0.0,1000.0
4,389,93,93,1000.0,4000.0,0.25,0.0,1000.0
5,346,213,21,1000.0,1000.0,1.0,0.0,93.52051104767402
5,346,213,53,1000.0,1000.0,1.0,0.0,236.91162552977642
5,346,213,106,1000.0,1000.0,1.0,0.0,476.5616658762784
5,346,213,159,1000.0,1000.0,1.0,0.0,719.0927955458681
5,346,213,213,1000.0,1000.0,1.0,0.0,970.0
6,729,162,16,4000.0,1000.0,4.0,0.75,161.57187081541684
6,729,162,40,4000.0,1000.0,4.0,0.75,388.93190312832
6,729,162,81,4000.0,1000.0,4.0,0.75,713.544668079408
6,729,162,121,4000.0,1000.0,4.0,0.75,927.3257124078602
6,729,162,162,4000.0,1000.0,4.0,0.75,970.0000000000001
7,301,153,15,2000.0,1000.0,2.0,0.25,93.68781857561714
7,301,153,38,2000.0,1000.0,2.0,0.25,237.97326618600974
7,301,153,76,2000.0,1000.0,2.0,0.25,478.1396980912823
7,301,153,114,2000.0,1000.0,2.0,0.25,720.2378621624997
7,301,153,153,2000.0,1000.0,2.0,0.25,970.0
8,513,129,12,2000.0,1000.0,2.0,0.25,91.2519969765866
8,513,129,32,2000.0,1000.0,2.0,0.25,243.04615174925038
8,513,129,64,2000.0,1000.0,2.0,0.25,484.9768625730869
8,513,129,96,2000.0,1000.0,2.0,0.25,724.8038569529743
8,513,129,129,2000.0,1000.0,2.0,0.25,970.0
9,271,54,5,4000.0,1000.0,4.0,0.75,89.34961547790795
9,271,54,13,4000.0,1000.0,4.0,0.75,232.48912503634762
9,271,54,27,4000.0,1000.0,4.0,0.75,483.6808752240133
9,271,54,40,4000.0,1000.0,4.0,0.75,717.509355021411
9,271,54,54,4000.0,1000.0,4.0,0.75,970.0
