age_years,lx
0,100000
1,99735
2,99706
3,99686
4,99668
5,99655
6,99646
7,99637
8,99629
9,99619
10,99610
11,99600
12,99589
13,99577
14,99562
15,99542
16,99517
17,99487
18,99452
19,99411
20,99367
21,99319
22,99268
23,99214
24,99160
25,99106
26,99048
27,98988
28,98928
29,98869
30,98808
31,98745
32,98679
33,98611
34,98543
35,98467
36,98379
37,98283
38,98177
39,98061
40,97943
41,97809
42,97654
43,97482
44,97289
45,97073
46,96832
47,96567
48,96260
49,95915
50,95530
51,95092
52,94603
53,94061
54,93467
55,92812
56,92101
57,91336
58,90518
59,89606
60,88626
61,87576
62,86454
63,85271
64,84018
65,82672
66,81223
67,79679
68,78033
69,76276
70,74397
71,72385
72,70236
73,67928
74,65456
75,62785
76,59917
77,56867
78,53599
79,50141
80,46526
81,42793
82,38992
83,35117
84,31257
85,27470
86,23805
87,20293
88,17007
89,14001
90,11310
91,8975
92,6988
93,5329
94,3973
95,2888
96,2042
97,1401
98,930
99,594
100,365
