age_months,age_years,lx
0,0.0,100000
1,0.0833,99978
2,0.1667,99956
3,0.25,99934
4,0.3333,99912
5,0.4167,99890
6,0.5,99868
7,0.5833,99845
8,0.6667,99823
9,0.75,99801
10,0.8333,99779
11,0.9167,99757
12,1.0,99735
13,1.0833,99733
14,1.1667,99730
15,1.25,99728
16,1.3333,99725
17,1.4167,99723
18,1.5,99720
19,1.5833,99718
20,1.6667,99716
21,1.75,99713
22,1.8333,99711
23,1.9167,99708
24,2.0,99706
25,2.0833,99704
26,2.1667,99703
27,2.25,99701
28,2.3333,99699
29,2.4167,99698
30,2.5,99696
31,2.5833,99694
32,2.6667,99693
33,2.75,99691
34,2.8333,99689
35,2.9167,99688
36,3.0,99686
37,3.0833,99684
38,3.1667,99683
39,3.25,99682
40,3.3333,99680
41,3.4167,99678
42,3.5,99677
43,3.5833,99676
44,3.6667,99674
45,3.75,99672
46,3.8333,99671
47,3.9167,99670
48,4.0,99668
49,4.0833,99667
50,4.1667,99666
51,4.25,99665
52,4.3333,99664
53,4.4167,99663
54,4.5,99662
55,4.5833,99660
56,4.6667,99659
57,4.75,99658
58,4.8333,99657
59,4.9167,99656
60,5.0,99655
61,5.0833,99654
62,5.1667,99654
63,5.25,99653
64,5.3333,99652
65,5.4167,99651
66,5.5,99650
67,5.5833,99650
68,5.6667,99649
69,5.75,99648
70,5.8333,99648
71,5.9167,99647
72,6.0,99646
73,6.0833,99645
74,6.1667,99644
75,6.25,99644
76,6.3333,99643
77,6.4167,99642
78,6.5,99642
79,6.5833,99641
80,6.6667,99640
81,6.75,99639
82,6.8333,99638
83,6.9167,99638
84,7.0,99637
85,7.0833,99636
86,7.1667,99636
87,7.25,99635
88,7.3333,99634
89,7.4167,99634
90,7.5,99633
91,7.5833,99632
92,7.6667,99632
93,7.75,99631
94,7.8333,99630
95,7.9167,99630
96,8.0,99629
97,8.0833,99628
98,8.1667,99627
99,8.25,99626
100,8.3333,99626
101,8.4167,99625
102,8.5,99624
103,8.5833,99623
104,8.6667,99622
105,8.75,99622
106,8.8333,99621
107,8.9167,99620
108,9.0,99619
109,9.0833,99618
110,9.1667,99618
111,9.25,99617
112,9.3333,99616
113,9.4167,99615
114,9.5,99614
115,9.5833,99614
116,9.6667,99613
117,9.75,99612
118,9.8333,99612
119,9.9167,99611
120,10.0,99610
121,10.0833,99609
122,10.1667,99608
123,10.25,99608
124,10.3333,99607
125,10.4167,99606
126,10.5,99605
127,10.5833,99604
128,10.6667,99603
129,10.75,99602
130,10.8333,99602
131,10.9167,99601
132,11.0,99600
133,11.0833,99599
134,11.1667,99598
135,11.25,99597
136,11.3333,99596
137,11.4167,99595
138,11.5,99594
139,11.5833,99594
140,11.6667,99593
141,11.75,99592
142,11.8333,99591
143,11.9167,99590
144,12.0,99589
145,12.0833,99588
146,12.1667,99587
